gene,ligand,tf,pair,cell_type,mean,std,n
CD4,SHH,MEF2A,SHH#MEF2A,Muscularis_mucosa,0.0,0.0,51
CD4,IL26,MEF2A,IL26#MEF2A,Muscularis_mucosa,0.0,0.0,51
CD4,VEGFA,MEF2C,VEGFA#MEF2C,Muscularis_mucosa,0.0,0.0,51
CD4,ADM,NF1,ADM#NF1,Muscularis_mucosa,0.0,0.0,51
CD4,CSF1,NFATC1,CSF1#NFATC1,Muscularis_mucosa,0.0,0.0,51
CD4,ANGPTL4,NFATC2,ANGPTL4#NFATC2,Muscularis_mucosa,0.0,0.0,51
CD4,IL18,NFATC4,IL18#NFATC4,Muscularis_mucosa,0.0,0.0,51
CD4,TGFB1,NFATC4,TGFB1#NFATC4,Muscularis_mucosa,0.0,0.0,51
CD4,BMP2,REST,BMP2#REST,Muscularis_mucosa,0.0,0.0,51
CD4,BMP2,RXRA,BMP2#RXRA,Muscularis_mucosa,0.0,0.0,51
CD4,BMP6,RXRA,BMP6#RXRA,Muscularis_mucosa,0.0,0.0,51
CD4,CXCL12,RXRA,CXCL12#RXRA,Muscularis_mucosa,0.0,0.0,51
CD4,IL18,SIN3A,IL18#SIN3A,Muscularis_mucosa,0.0,0.0,51
CD4,CXCL12,SIN3A,CXCL12#SIN3A,Muscularis_mucosa,0.0,0.0,51
CD4,EBI3,SMC3,EBI3#SMC3,Muscularis_mucosa,0.0,0.0,51
CD4,CNTF,SP3,CNTF#SP3,Muscularis_mucosa,0.0,0.0,51
CD4,PDGFC,TBX2,PDGFC#TBX2,Muscularis_mucosa,0.0,0.0,51
CD4,BMP4,TBX2,BMP4#TBX2,Muscularis_mucosa,0.0,0.0,51
CD4,BMP4,TFAP2A,BMP4#TFAP2A,Muscularis_mucosa,0.0,0.0,51
