gene,tf,cell_type,mean,std,n
CD4,NFATC4,Proliferating CD8 T cell,-8.165173e-06,2.2334152e-05,19
CD4,NHLH2,Proliferating CD8 T cell,-0.07510048,0.00052720297,19
CD4,POU2F2,Proliferating CD8 T cell,0.08423716,0.03720043,19
CD4,PTEN,Proliferating CD8 T cell,0.3683499,0.003283378,19
CD4,REST,Proliferating CD8 T cell,-0.3646457,0.0008654891,19
CD4,RXRA,Proliferating CD8 T cell,-0.038640015,0.024483802,19
CD4,SIN3A,Proliferating CD8 T cell,-0.07315246,0.027125262,19
CD4,SMC3,Proliferating CD8 T cell,-0.012814657,0.01742437,19
CD4,SP3,Proliferating CD8 T cell,-0.0835162,0.00091689714,19
CD4,SP9,Proliferating CD8 T cell,0.048418712,0.0008084299,19
CD4,TAL1,Proliferating CD8 T cell,-0.11428015,0.0034069028,19
CD4,TBX2,Proliferating CD8 T cell,0.24167264,0.0019244152,19
CD4,TBX4,Proliferating CD8 T cell,-0.16355726,1.4421881e-05,19
CD4,TBX5,Proliferating CD8 T cell,0.16553876,4.120611e-05,19
CD4,TFAP2A,Proliferating CD8 T cell,-0.023533398,0.031241663,19
CD4,TFAP2B,Proliferating CD8 T cell,0.02551599,0.00018030113,19
CD4,USF1,Proliferating CD8 T cell,-0.08954189,0.02509529,19
