gene,tf,cell_type,mean,std,n
CD4,TBX2,Gamma delta T cell,-0.14136085,0.13263762,2417
CD4,TBX4,Gamma delta T cell,-0.2800064,0.058167644,2417
CD4,TBX5,Gamma delta T cell,-0.37297451,0.14587195,2417
CD4,TFAP2A,Gamma delta T cell,-0.5933118,0.12173782,2417
CD4,TFAP2B,Gamma delta T cell,0.053721517,0.03057064,2417
CD4,USF1,Gamma delta T cell,0.78315985,0.35791555,2417
CD4,VDR,Gamma delta T cell,0.43752247,0.20080176,2417
CD4,WT1,Gamma delta T cell,-0.46786284,0.078848474,2417
CD4,YY1,Gamma delta T cell,0.3254835,0.031458337,2417
CD4,ZEB1,Gamma delta T cell,-0.85540766,0.5375557,2417
CD4,ZFX,Gamma delta T cell,-0.45799726,0.1326211,2417
CD4,ZIC4,Gamma delta T cell,-0.10209623,0.028406579,2417
CD4,ZNF281,Gamma delta T cell,-0.55222374,0.31754228,2417
CD4,ZNF341,Gamma delta T cell,0.047200713,0.048823662,2417
CD4,ATOH8,ISG CD8 T cell,-0.099881865,0.043115065,239
CD4,BATF3,ISG CD8 T cell,-0.13296951,0.17863055,239
CD4,BCL3,ISG CD8 T cell,0.25902742,0.10958047,239
CD4,CTCF,ISG CD8 T cell,0.20421551,0.054377224,239
CD4,CTCFL,ISG CD8 T cell,0.00026046674,0.055515755,239
CD4,E2F1,ISG CD8 T cell,0.47043294,0.35709795,239
CD4,E2F3,ISG CD8 T cell,0.20410605,0.16715299,239
CD4,E2F4,ISG CD8 T cell,-0.02886619,0.13687997,239
CD4,EGR2,ISG CD8 T cell,-0.11101651,0.1636257,239
CD4,EGR3,ISG CD8 T cell,0.30305523,0.099686064,239
CD4,EGR4,ISG CD8 T cell,-0.26564175,0.033530083,239
CD4,ELK1,ISG CD8 T cell,0.23047261,0.1729919,239
CD4,ETS1,ISG CD8 T cell,0.058136433,0.15680222,239
CD4,FOXA1,ISG CD8 T cell,-0.17810744,0.012353713,239
CD4,FOXC1,ISG CD8 T cell,-0.8280504,0.28627306,239
